year,repo_rate,cpi_avg,iip_avg,credit_growth_scb,gdp_growth
2010,,,,,
2011,6.5,6.535,7.925,23.968,
2012,8.023,5.671,3.242,19.065,
2013,7.932,6.647,1.036,16.436,5.459
2014,7.568,7.921,-0.186,14.82,6.085
2015,7.932,8.11,2.829,11.073,7.182
2016,7.068,6.88,3.375,9.681,8.025
2017,6.375,5.398,4.724,7.317,7.992
2018,6.083,4.491,4.418,7.245,6.218
2019,6.333,4.197,3.914,13.191,5.833
2020,5.371,4.249,-0.639,9.333,3.951
2021,4.033,4.287,-8.202,5.83,-4.268
2022,4.0,4.462,7.718,7.308,10.252
2023,5.567,2.81,5.513,15.25,6.962
2024,6.5,1.53,5.901,18.865,8.189
2025,6.458,1.895,4.685,13.631,7.005
2026,5.5,2.308,4.116,11.739,8.034
2027,5.25,3.282,4.9,16.001,
